0.208563,0.348632,0.0177213,0.148857,0.153189,0.190865,0.437185,0.244597
0.0921335,0.301648,0.249621,0.134855,0.936288,0.380517,0.0934077,0.21412
0.175709,0.194612,0.333822,0.0201558,0.171403,0.835225,0.581565,0.149629
0.346329,0.340413,0.0270883,0.0379633,0.836335,0.181332,0.250074,0.283457
0.0862035,0.0651153,0.281323,0.327321,0.89526,0.789268,0.838832,0.945819
0.0459914,0.153502,0.219185,0.327972,0.325697,0.0347674,0.738832,0.277749
0.194355,0.198226,0.346886,0.0583674,0.27447,0.109203,0.963033,0.763517
0.242733,0.120946,0.314241,0.129835,0.740356,0.248032,0.244546,0.0895504
0.173587,0.189384,0.14308,0.258243,0.463693,0.698826,0.10544,0.727153
0.128611,0.130634,0.0961888,0.325377,0.427567,0.208954,0.801159,0.526595
0.258538,0.22475,0.276564,0.116493,0.774815,0.676177,0.381061,0.266487
0.0944434,0.31342,0.208292,0.0416929,0.608262,0.468171,0.719456,0.715875
0.25369,0.22955,0.0322632,0.232335,0.928779,0.753453,0.292233,0.0580306
0.119939,0.109764,0.180739,0.373164,0.0411209,0.216471,0.106265,0.313397
